# file...... IEEE_13_ho_magda_biddingDR_transformer_power.csv
# date...... Thu Sep  1 14:39:36 2016
# user...... sanjaya
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-08-09 00:00:00 PDT,-1.35863e+06,-545297,-1.36564e+06,-500104,-1.45474e+06,-498742,-1.3587e+06,-545768,-1.36571e+06,-500569,-1.45482e+06,-499262,+70.7361,+471.517
2000-08-09 00:01:00 PDT,-1.35896e+06,-545264,-1.36624e+06,-500014,-1.45478e+06,-498773,-1.35903e+06,-545736,-1.36631e+06,-500479,-1.45486e+06,-499294,+70.7647,+471.708
2000-08-09 00:02:00 PDT,-1.3592e+06,-545236,-1.36644e+06,-500005,-1.45498e+06,-498749,-1.35927e+06,-545708,-1.36651e+06,-500471,-1.45506e+06,-499270,+70.7852,+471.844
2000-08-09 00:03:00 PDT,-1.35966e+06,-545182,-1.36704e+06,-499919,-1.45549e+06,-498654,-1.35973e+06,-545654,-1.36711e+06,-500386,-1.45557e+06,-499175,+70.8247,+472.108
2000-08-09 00:04:00 PDT,-1.36501e+06,-544855,-1.38255e+06,-496754,-1.46069e+06,-497629,-1.36509e+06,-545331,-1.38263e+06,-497229,-1.46077e+06,-498152,+71.2943,+475.239
2000-08-09 00:05:00 PDT,-1.39261e+06,-484580,-1.39077e+06,-499668,-1.46186e+06,-437000,-1.39268e+06,-485058,-1.39084e+06,-500148,-1.46194e+06,-437513,+71.758,+478.33
2000-08-09 00:06:00 PDT,-1.40223e+06,-483065,-1.40689e+06,-496302,-1.4673e+06,-436194,-1.4023e+06,-483549,-1.40696e+06,-496791,-1.46738e+06,-436710,+72.5964,+483.919
2000-08-09 00:07:00 PDT,-1.40726e+06,-483083,-1.42761e+06,-491797,-1.47752e+06,-433739,-1.40733e+06,-483570,-1.42769e+06,-492299,-1.4776e+06,-434260,+73.0634,+487.032
2000-08-09 00:08:00 PDT,-1.42365e+06,-479477,-1.43753e+06,-490834,-1.48263e+06,-433274,-1.42372e+06,-479973,-1.4376e+06,-491341,-1.48271e+06,-433799,+74.4801,+496.477
2000-08-09 00:09:00 PDT,-1.43434e+06,-477214,-1.44323e+06,-489800,-1.48759e+06,-432531,-1.43442e+06,-477716,-1.4433e+06,-490311,-1.48767e+06,-433059,+75.4171,+502.724
2000-08-09 00:10:00 PDT,-1.45135e+06,-472947,-1.44358e+06,-490470,-1.49275e+06,-432019,-1.45143e+06,-473460,-1.44366e+06,-490981,-1.49283e+06,-432550,+76.9033,+512.632
2000-08-09 00:11:00 PDT,-1.45145e+06,-472965,-1.44393e+06,-490405,-1.49309e+06,-431948,-1.45153e+06,-473478,-1.444e+06,-490916,-1.49317e+06,-432480,+76.9138,+512.702
2000-08-09 00:12:00 PDT,-1.45109e+06,-474035,-1.4652e+06,-485620,-1.49304e+06,-432223,-1.45116e+06,-474548,-1.46528e+06,-486144,-1.49312e+06,-432755,+76.912,+512.69
2000-08-09 00:13:00 PDT,-1.45122e+06,-474338,-1.4709e+06,-484002,-1.49296e+06,-432366,-1.4513e+06,-474850,-1.47097e+06,-484530,-1.49304e+06,-432898,+76.9341,+512.837
2000-08-09 00:14:00 PDT,-1.45164e+06,-474398,-1.47112e+06,-484275,-1.49846e+06,-430806,-1.45171e+06,-474911,-1.4712e+06,-484803,-1.49854e+06,-431341,+76.9759,+513.116
2000-08-09 00:15:00 PDT,-1.45253e+06,-474220,-1.47171e+06,-484188,-1.49892e+06,-430745,-1.45261e+06,-474734,-1.47179e+06,-484716,-1.499e+06,-431280,+77.0565,+513.653
2000-08-09 00:16:00 PDT,-1.44795e+06,-475503,-1.47214e+06,-484005,-1.49973e+06,-430244,-1.44803e+06,-476014,-1.47221e+06,-484534,-1.49981e+06,-430780,+76.6578,+510.995
2000-08-09 00:17:00 PDT,-1.44851e+06,-475402,-1.47231e+06,-484049,-1.50064e+06,-430036,-1.44859e+06,-475913,-1.47239e+06,-484577,-1.50072e+06,-430572,+76.7082,+511.332
2000-08-09 00:18:00 PDT,-1.44854e+06,-475720,-1.4777e+06,-482381,-1.50056e+06,-430184,-1.44861e+06,-476232,-1.47778e+06,-482913,-1.50064e+06,-430720,+76.7207,+511.415
2000-08-09 00:19:00 PDT,-1.44775e+06,-475918,-1.4782e+06,-482274,-1.50125e+06,-429960,-1.44783e+06,-476429,-1.47828e+06,-482806,-1.50133e+06,-430497,+76.6517,+510.955
2000-08-09 00:20:00 PDT,-1.44821e+06,-475845,-1.47881e+06,-482162,-1.50137e+06,-429976,-1.44828e+06,-476357,-1.47889e+06,-482695,-1.50145e+06,-430512,+76.6931,+511.23
2000-08-09 00:21:00 PDT,-1.44854e+06,-475827,-1.47953e+06,-481994,-1.50181e+06,-429890,-1.44862e+06,-476338,-1.47961e+06,-482527,-1.50189e+06,-430427,+76.7248,+511.442
2000-08-09 00:22:00 PDT,-1.44866e+06,-475836,-1.47991e+06,-481907,-1.50194e+06,-429882,-1.44874e+06,-476348,-1.47999e+06,-482440,-1.50202e+06,-430419,+76.7363,+511.518
2000-08-09 00:23:00 PDT,-1.45413e+06,-474426,-1.48031e+06,-481980,-1.5022e+06,-430159,-1.45421e+06,-474941,-1.48039e+06,-482513,-1.50228e+06,-430696,+77.2159,+514.716
2000-08-09 00:24:00 PDT,-1.46013e+06,-472938,-1.48073e+06,-482043,-1.50239e+06,-430485,-1.46021e+06,-473456,-1.48081e+06,-482577,-1.50247e+06,-431022,+77.7464,+518.253
2000-08-09 00:25:00 PDT,-1.46073e+06,-472838,-1.48135e+06,-481961,-1.50286e+06,-430400,-1.46081e+06,-473356,-1.48143e+06,-482495,-1.50294e+06,-430938,+77.8009,+518.616
2000-08-09 00:26:00 PDT,-1.46132e+06,-472700,-1.48139e+06,-481991,-1.50306e+06,-430406,-1.4614e+06,-473219,-1.48147e+06,-482525,-1.50314e+06,-430944,+77.854,+518.97
2000-08-09 00:27:00 PDT,-1.46157e+06,-472407,-1.47693e+06,-483450,-1.50374e+06,-430145,-1.46165e+06,-472926,-1.47701e+06,-483981,-1.50382e+06,-430683,+77.8689,+519.07
2000-08-09 00:28:00 PDT,-1.46205e+06,-472321,-1.47734e+06,-483358,-1.50382e+06,-430171,-1.46212e+06,-472841,-1.47742e+06,-483890,-1.5039e+06,-430710,+77.9121,+519.357
2000-08-09 00:29:00 PDT,-1.4622e+06,-472338,-1.47803e+06,-483202,-1.50406e+06,-430136,-1.46228e+06,-472858,-1.47811e+06,-483734,-1.50414e+06,-430675,+77.9272,+519.458
2000-08-09 00:30:00 PDT,-1.46241e+06,-472329,-1.47836e+06,-483153,-1.50465e+06,-430009,-1.46249e+06,-472849,-1.47844e+06,-483685,-1.50473e+06,-430548,+77.9475,+519.593
2000-08-09 00:31:00 PDT,-1.46233e+06,-472662,-1.4833e+06,-481676,-1.50519e+06,-429954,-1.46241e+06,-473182,-1.48338e+06,-482211,-1.50527e+06,-430493,+77.9501,+519.611
2000-08-09 00:32:00 PDT,-1.46266e+06,-472622,-1.48376e+06,-481604,-1.50558e+06,-429878,-1.46274e+06,-473142,-1.48384e+06,-482139,-1.50566e+06,-430417,+77.9811,+519.817
2000-08-09 00:33:00 PDT,-1.45813e+06,-473892,-1.4844e+06,-481324,-1.50577e+06,-429566,-1.45821e+06,-474409,-1.48448e+06,-481860,-1.50585e+06,-430105,+77.5837,+517.168
2000-08-09 00:34:00 PDT,-1.459e+06,-473696,-1.48469e+06,-481280,-1.50592e+06,-429608,-1.45908e+06,-474214,-1.48477e+06,-481816,-1.506e+06,-430147,+77.6613,+517.685
2000-08-09 00:35:00 PDT,-1.4591e+06,-473703,-1.48501e+06,-481202,-1.50596e+06,-429622,-1.45918e+06,-474221,-1.48509e+06,-481739,-1.50604e+06,-430162,+77.6712,+517.751
2000-08-09 00:36:00 PDT,-1.45415e+06,-474998,-1.4852e+06,-481065,-1.50645e+06,-429191,-1.45423e+06,-475512,-1.48528e+06,-481601,-1.50653e+06,-429731,+77.2357,+514.848
2000-08-09 00:37:00 PDT,-1.45489e+06,-474836,-1.48549e+06,-481013,-1.50655e+06,-429228,-1.45497e+06,-475351,-1.48557e+06,-481550,-1.50663e+06,-429768,+77.3017,+515.288
2000-08-09 00:38:00 PDT,-1.45581e+06,-474620,-1.48558e+06,-481041,-1.50682e+06,-429215,-1.45589e+06,-475136,-1.48566e+06,-481578,-1.50691e+06,-429755,+77.3837,+515.834
2000-08-09 00:39:00 PDT,-1.46089e+06,-473287,-1.48572e+06,-481185,-1.50701e+06,-429490,-1.46097e+06,-473806,-1.4858e+06,-481721,-1.50709e+06,-430030,+77.8305,+518.814
2000-08-09 00:40:00 PDT,-1.46138e+06,-473190,-1.48597e+06,-481150,-1.50724e+06,-429470,-1.46146e+06,-473709,-1.48605e+06,-481687,-1.50732e+06,-430010,+77.8752,+519.111
2000-08-09 00:41:00 PDT,-1.46171e+06,-473127,-1.48608e+06,-481147,-1.50732e+06,-429480,-1.46178e+06,-473646,-1.48616e+06,-481683,-1.5074e+06,-430020,+77.9042,+519.305
2000-08-09 00:42:00 PDT,-1.4673e+06,-471730,-1.48652e+06,-481181,-1.50744e+06,-429801,-1.46737e+06,-472253,-1.4866e+06,-481718,-1.50752e+06,-430342,+78.401,+522.617
2000-08-09 00:43:00 PDT,-1.46754e+06,-471706,-1.48674e+06,-481168,-1.50804e+06,-429662,-1.46762e+06,-472229,-1.48682e+06,-481705,-1.50812e+06,-430202,+78.4241,+522.771
2000-08-09 00:44:00 PDT,-1.46266e+06,-473051,-1.48692e+06,-480993,-1.50822e+06,-429323,-1.46274e+06,-473571,-1.487e+06,-481530,-1.50831e+06,-429864,+77.9944,+519.906
2000-08-09 00:45:00 PDT,-1.46335e+06,-472506,-1.48248e+06,-482075,-1.50363e+06,-430652,-1.46343e+06,-473026,-1.48256e+06,-482610,-1.50371e+06,-431190,+78.044,+520.236
2000-08-09 00:46:00 PDT,-1.46377e+06,-472422,-1.48258e+06,-482082,-1.50389e+06,-430616,-1.46385e+06,-472943,-1.48266e+06,-482617,-1.50397e+06,-431154,+78.0813,+520.485
2000-08-09 00:47:00 PDT,-1.4638e+06,-472438,-1.48276e+06,-482048,-1.50398e+06,-430612,-1.46388e+06,-472959,-1.48285e+06,-482583,-1.50406e+06,-431150,+78.0851,+520.511
2000-08-09 00:48:00 PDT,-1.46913e+06,-471307,-1.48792e+06,-480701,-1.50397e+06,-431046,-1.46921e+06,-471830,-1.488e+06,-481239,-1.50405e+06,-431585,+78.5658,+523.715
2000-08-09 00:49:00 PDT,-1.46946e+06,-471366,-1.48794e+06,-480999,-1.50898e+06,-429603,-1.46953e+06,-471890,-1.48802e+06,-481537,-1.50907e+06,-430144,+78.599,+523.937
2000-08-09 00:50:00 PDT,-1.46974e+06,-471334,-1.48838e+06,-480906,-1.50927e+06,-429554,-1.46982e+06,-471858,-1.48846e+06,-481444,-1.50935e+06,-430096,+78.6258,+524.115
2000-08-09 00:51:00 PDT,-1.46993e+06,-471320,-1.4887e+06,-480838,-1.50945e+06,-429529,-1.47001e+06,-471844,-1.48878e+06,-481376,-1.50953e+06,-430070,+78.6435,+524.233
2000-08-09 00:52:00 PDT,-1.47006e+06,-471320,-1.48903e+06,-480766,-1.50958e+06,-429515,-1.47013e+06,-471844,-1.48911e+06,-481305,-1.50966e+06,-430057,+78.6558,+524.316
2000-08-09 00:53:00 PDT,-1.4704e+06,-471260,-1.48932e+06,-480708,-1.50973e+06,-429509,-1.47048e+06,-471785,-1.4894e+06,-481247,-1.50981e+06,-430051,+78.6872,+524.525
2000-08-09 00:54:00 PDT,-1.47049e+06,-471264,-1.48941e+06,-480716,-1.51009e+06,-429418,-1.47057e+06,-471788,-1.48949e+06,-481255,-1.51017e+06,-429960,+78.6961,+524.584
2000-08-09 00:55:00 PDT,-1.47064e+06,-471248,-1.48956e+06,-480705,-1.51029e+06,-429383,-1.47072e+06,-471772,-1.48964e+06,-481244,-1.51037e+06,-429925,+78.7107,+524.681
2000-08-09 00:56:00 PDT,-1.47092e+06,-471199,-1.48971e+06,-480681,-1.51032e+06,-429404,-1.471e+06,-471724,-1.48979e+06,-481220,-1.5104e+06,-429946,+78.7364,+524.852
2000-08-09 00:57:00 PDT,-1.47124e+06,-471150,-1.49005e+06,-480611,-1.51049e+06,-429390,-1.47132e+06,-471675,-1.49013e+06,-481150,-1.51057e+06,-429932,+78.7653,+525.045
2000-08-09 00:58:00 PDT,-1.47142e+06,-471133,-1.49031e+06,-480562,-1.51081e+06,-429343,-1.4715e+06,-471658,-1.49039e+06,-481102,-1.51089e+06,-429886,+78.7828,+525.162
2000-08-09 00:59:00 PDT,-1.47169e+06,-470807,-1.48562e+06,-481972,-1.51095e+06,-429247,-1.47177e+06,-471332,-1.4857e+06,-482508,-1.51103e+06,-429789,+78.7985,+525.267
2000-08-09 01:00:00 PDT,-1.47301e+06,-470538,-1.48646e+06,-481823,-1.51188e+06,-429072,-1.47309e+06,-471064,-1.48654e+06,-482360,-1.51196e+06,-429615,+78.9184,+526.066
2000-08-09 01:01:00 PDT,-1.47321e+06,-470363,-1.48679e+06,-481465,-1.50693e+06,-430614,-1.47329e+06,-470889,-1.48687e+06,-482003,-1.50701e+06,-431155,+78.9325,+526.16
2000-08-09 01:02:00 PDT,-1.4733e+06,-470349,-1.48685e+06,-481461,-1.507e+06,-430604,-1.47338e+06,-470875,-1.48694e+06,-481999,-1.50708e+06,-431144,+78.9404,+526.213
2000-08-09 01:03:00 PDT,-1.47347e+06,-470323,-1.48707e+06,-481427,-1.50717e+06,-430568,-1.47354e+06,-470849,-1.48715e+06,-481964,-1.50725e+06,-431108,+78.956,+526.317
2000-08-09 01:04:00 PDT,-1.47359e+06,-470299,-1.4871e+06,-481436,-1.50732e+06,-430535,-1.47367e+06,-470825,-1.48718e+06,-481974,-1.5074e+06,-431076,+78.9674,+526.393
2000-08-09 01:05:00 PDT,-1.47348e+06,-470763,-1.49212e+06,-480255,-1.51225e+06,-429103,-1.47356e+06,-471289,-1.4922e+06,-480796,-1.51233e+06,-429646,+78.9708,+526.415
2000-08-09 01:06:00 PDT,-1.46828e+06,-472205,-1.49261e+06,-479980,-1.51242e+06,-428744,-1.46836e+06,-472729,-1.49269e+06,-480521,-1.5125e+06,-429288,+78.5113,+523.352
