a_tstamp,b_windspeed,c_temperature,d_solarflux,e_humidity,f_ma_5_windspeed,g_ma_5_temperature,h_ma_5_solarflux,i_ma_5_humidity,j_mm_5_windspeed,k_mm_5_temperature,l_mm_5_solarflux,m_mm_5_humidity,n_sd_5_windspeed,o_sd_5_temperature,p_sd_5_solarflux,q_sd_5_humidity,r_clearingprice
965071800,8.94775,59.542,0,0.81,9.29727,59.95826,0,0.804374,9.31125,60.0145,0,0.80375,0.23755074,0.2588733405,0,0.0035740823,0.14
965072700,8.68211,59.1201,0,0.81406,9.109926,59.72988,0,0.807186,9.13649,59.8064,0,0.80656,0.2762911112,0.3700119209,0,0.0044501757,0.14
965073600,8.44443,58.7095,0,0.81875,8.904406,59.4385,0,0.810624,8.94775,59.542,0,0.81,0.3105663079,0.4713084383,0,0.0053290772,0.14
965074500,8.23472,58.3101,0,0.82406,8.6891,59.09762,0,0.814686,8.68211,59.1201,0,0.81406,0.3266285621,0.5424339422,0,0.0062091919,0.14
965075400,8.05297,57.922,0,0.83,8.472396,58.72074,0,0.819374,8.44443,58.7095,0,0.81875,0.3172164985,0.5728339257,0,0.0070904206,0.14
965076300,7.9621,57.6126,0,0.83844,8.275266,58.33486,0,0.825062,8.23472,58.3101,0,0.82406,0.2620194392,0.5384575994,0,0.00854686,0.14
965077200,7.85724,57.2695,0,0.84625,8.110292,57.96474,0,0.8315,8.05297,57.922,0,0.83,0.2080444786,0.5065824577,0,0.0098579126,0.14
965078100,7.7384,56.8926,0,0.85344,7.969086,57.60136,0,0.838438,7.9621,57.6126,0,0.83844,0.1693353536,0.4935018808,0,0.010620867,0.14
965079000,7.60558,56.482,0,0.86,7.843258,57.23574,0,0.845626,7.85724,57.2695,0,0.84625,0.1586089985,0.5098990159,0,0.0106195134,0.14
965079900,7.33296,55.7507,0,0.865,7.699256,56.80148,0,0.852626,7.7384,56.8926,0,0.85344,0.2184152549,0.6467561067,0,0.0094873634,0.14
965080800,7.13023,55.177,0,0.87,7.532882,56.31436,0,0.858938,7.60558,56.482,0,0.86,0.2663937683,0.7597443586,0,0.0083839952,0.14
965081700,6.99742,54.7607,0,0.875,7.360918,55.8126,0,0.864688,7.33296,55.7507,0,0.865,0.2787405796,0.7910510654,0,0.0075252492,0.14
965082600,6.9345,54.502,0.2822,0.88,7.200138,55.33448,0.05644,0.87,7.13023,55.177,0,0.87,0.2443645482,0.7123324544,0.11288,0.0070710678,0.14
965083500,6.92052,54.4176,0.43954,0.8925,7.063126,54.9216,0.144348,0.8765,6.99742,54.7607,0,0.875,0.1539556637,0.491651287,0.183657576,0.0094339811,0.14
965084400,6.99043,54.4795,1.25758,0.9,6.99462,54.66736,0.395864,0.8835,6.99043,54.502,0.2822,0.88,0.0741898815,0.2805211764,0.4627738488,0.0111355287,0.12
